userName,score,content,at,clean_content,sentiment,cleaning,case_folding,normalization,stopword_removal
Sihat Abu sofyan,1,cari driver sekarang sulit. menghambat pekerjaan. sering trlambat. dan susah saat hujan. tapi kalo tarifnya mahal mereka mau berangkat,2026-03-26 00:22:31,cari driver sekarang sulit menghambat pekerjaan sering trlambat dan susah saat hujan tapi kalo tarifnya mahal mereka mau berangkat,negatif,cari driver sekarang sulit menghambat pekerjaan sering trlambat dan susah saat hujan tapi kalo tarifnya mahal mereka mau berangkat,cari driver sekarang sulit menghambat pekerjaan sering trlambat dan susah saat hujan tapi kalo tarifnya mahal mereka mau berangkat,cari driver sekarang sulit menghambat pekerjaan sering terlambat dan susah saat hujan tapi kalo tarinya mahal mereka mau berangkat,cari driver sekarang sulit menghambat pekerjaan sering terlambat dan susah saat hujan tapi tarinya mahal mereka mau berangkat
Daffa Malik,1,"harga kapitalis kalau pas hujan, udah gitu sering ga dapat driver, niat ga sih kerja nya?",2026-03-26 00:05:55,harga kapitalis kalau pas hujan udah gitu sering ga dapat driver niat ga sih kerja nya,negatif,harga kapitalis kalau pas hujan udah gitu sering ga dapat driver niat ga sih kerja nya,harga kapitalis kalau pas hujan udah gitu sering ga dapat driver niat ga sih kerja nya,harga kapitalis kalau pas hujan sudah begitu sering tidak dapat driver niat tidak sih kerja nya,harga kapitalis kalau pas hujan sudah begitu sering tidak dapat driver niat tidak kerja
Hdbdhd Bdbdhd,1,gw pesan dari jam 8 ngak dtg dtg,2026-03-25 23:59:46,gw pesan dari jam ngak dtg dtg,negatif,pesan dari jam ngak,pesan dari jam ngak,pesan dari jam tidak,pesan jam tidak
Ronny Andika,5,mantab,2026-03-25 23:54:56,mantab,positif,mantab,mantab,manta,manta
Three 89,1,"Makin gak karuan divernya gocar ,Udah jelas bayar pakai Gopay 158rb..Sampai lokasi minta di cancel ,katanya offline aja trus suruh bayar 200rb..Mksdnya apa ,pemerasan..Percuma lapor gojek jg ,cuma satu arah..gak ada cara buat cust menyampaikan , buat driver plat F 1280 OI Ahmad dahlan..Anda kurang ajar",2026-03-25 23:48:08,makin gak karuan divernya gocar udah jelas bayar pakai gopay rbsampai lokasi minta di cancel katanya offline aja trus suruh bayar rbmksdnya apa pemerasanpercuma lapor gojek jg cuma satu arahgak ada cara buat cust menyampaikan buat driver plat f oi ahmad dahlananda kurang ajar,negatif,makin gak karuan divernya gocar udah jelas bayar pakai gopay sampai lokasi minta cancel katanya offline aja trus suruh bayar apa pemerasan percuma lapor gojek cuma satu arah gak ada cara buat cust menyampaikan buat driver plat ahmad dahlan anda kurang ajar,makin gak karuan divernya gocar udah jelas bayar pakai gopay sampai lokasi minta cancel katanya offline aja trus suruh bayar apa pemerasan percuma lapor gojek cuma satu arah gak ada cara buat cust menyampaikan buat driver plat ahmad dahlan anda kurang ajar,makin enggak karuan divernya gocar sudah jelas bayar pakai gopay sampai lokasi meminta cancel katanya offline saja terus suruh bayar apa pemerasan percuma lapor gojek cuma satu arah enggak ada cara buat cust menyampaikan buat driver plat ahmad dahan anda kurang ajar,makin enggak karuan divernya gocar sudah jelas bayar pakai sampai lokasi meminta cancel katanya offline saja terus suruh bayar apa pemerasan percuma lapor gojek cuma satu arah enggak ada cara buat cust menyampaikan buat driver plat ahmad dahan anda kurang ajar
Rinda Sihotang,5,luar biasa,2026-03-25 23:46:30,luar biasa,positif,luar biasa,luar biasa,luar biasa,luar biasa
Rina Puspita,2,"udah lama nunggu, berkali-kali di ghosting sama drivernya. pas di telpon bilangnya terlalu murah. agak shock padahal gua bayar di aplikasinya 2x harga normal.",2026-03-25 23:37:38,udah lama nunggu berkalikali di ghosting sama drivernya pas di telpon bilangnya terlalu murah agak shock padahal gua bayar di aplikasinya x harga normal,negatif,udah lama nunggu berkali kali ghosting sama drivernya pas telpon bilangnya terlalu murah agak padahal gua bayar aplikasinya harga normal,udah lama nunggu berkali kali ghosting sama drivernya pas telpon bilangnya terlalu murah agak padahal gua bayar aplikasinya harga normal,sudah lama menunggu berkalih kali ghosting sama drivernya pas telpon bilangnya terlalu murah agak padahal gua bayar aplikasinya harga normal,sudah lama menunggu berkalih kali ghosting sama drivernya pas telpon bilangnya terlalu agak bayar aplikasinya harga normal
Arsad Arsad,5,Sangat membantu dlm transfortasi umum sampai ketujuan.,2026-03-25 23:31:09,sangat membantu dlm transfortasi umum sampai ketujuan,positif,sangat membantu transfortasi umum sampai ketujuan,sangat membantu transfortasi umum sampai ketujuan,sangat membantu transportasi umum sampai ketujuan,sangat membantu transportasi umum sampai ketujuan
Melly Ajja,5,sippp membantu secara cepat bagi kita yg pengen sesuatu dan yg malas keluar rumah gojek gofod solusinya,2026-03-25 23:18:18,sippp membantu secara cepat bagi kita yg pengen sesuatu dan yg malas keluar rumah gojek gofod solusinya,positif,membantu secara cepat bagi kita pengen sesuatu dan malas keluar rumah gojek gofod solusinya,membantu secara cepat bagi kita pengen sesuatu dan malas keluar rumah gojek gofod solusinya,membantu secara cepat bagi kita pengin sesuatu dan malas keluar rumah gojek gofod solusinya,membantu secara cepat bagi kita pengin sesuatu dan malas keluar rumah gojek gofod solusinya
Sarah Syakira Natania,5,"enak bgt pake aplikasi gojek, tapi kadang suka lama dapet nyaa",2026-03-25 23:14:39,enak bgt pake aplikasi gojek tapi kadang suka lama dapet nyaa,positif,enak pake aplikasi gojek tapi kadang suka lama dapet nyaa,enak pake aplikasi gojek tapi kadang suka lama dapet nyaa,enak pakai aplikasi gojek tapi kadang suka lama dapat nya,enak pakai aplikasi gojek tapi kadang suka lama dapat
amanah official788,5,ok,2026-03-25 23:13:55,ok,positif,ok,ok,baik,baik
Oni Nuradini,3,"gofood susah banget dapat driver skrng ya, padahal bayar pake gopay Lo tetap aja susah dpt driver",2026-03-25 23:11:38,gofood susah banget dapat driver skrng ya padahal bayar pake gopay lo tetap aja susah dpt driver,netral,gofood susah banget dapat driver padahal bayar pake gopay tetap aja susah driver,gofood susah banget dapat driver padahal bayar pake gopay tetap aja susah driver,gofood susah banget dapat driver padahal bayar pakai gopay tetap saja susah driver,gofood susah dapat driver bayar pakai tetap saja susah driver
Desti Ana,1,"Tolong yaa ketika saya lagi mesen ojek, jangan di persulit, dikasihnya malah yang jauh2.. apalagi pas saya lagi kerja pagi, kadang saya pake prioritas aja masih susahh🙂",2026-03-25 22:32:10,tolong yaa ketika saya lagi mesen ojek jangan di persulit dikasihnya malah yang jauh apalagi pas saya lagi kerja pagi kadang saya pake prioritas aja masih susahh,negatif,tolong yaa ketika saya lagi mesen ojek jangan persulit dikasihnya malah yang apalagi pas saya lagi kerja pagi kadang saya pake prioritas aja masih susahh,tolong yaa ketika saya lagi mesen ojek jangan persulit dikasihnya malah yang apalagi pas saya lagi kerja pagi kadang saya pake prioritas aja masih susahh,tolong ya ketika saya lagi mesen ojek jangan persulit dikasihnya malah yang apalagi pas saya lagi kerja pagi kadang saya pakai prioritas saja masih susah,ketika saya lagi mesen ojek jangan persulit dikasihnya malah yang apalagi pas saya lagi kerja pagi kadang saya pakai prioritas saja masih susah
Qinthar Rakha,1,"udah dapet drivernya lama, sekalinya dapet jauh",2026-03-25 22:21:06,udah dapet drivernya lama sekalinya dapet jauh,negatif,udah dapet drivernya lama sekalinya dapet jauh,udah dapet drivernya lama sekalinya dapet jauh,sudah dapat drivernya lama sekalinya dapat jauh,sudah dapat drivernya lama sekalinya dapat jauh
Bayu Andrianto,1,nyari driver aja lama banget,2026-03-25 21:20:48,nyari driver aja lama banget,negatif,nyari driver aja lama banget,nyari driver aja lama banget,mencari driver saja lama banget,mencari driver saja lama
Savina,4,"makin lama makin buruk, sinyal full tp buat buka aplikasi gojek lelet luama poll. padahal buat buka lainnya lancar lancar aja",2026-03-25 20:47:03,makin lama makin buruk sinyal full tp buat buka aplikasi gojek lelet luama poll padahal buat buka lainnya lancar lancar aja,positif,makin lama makin buruk sinyal full buat buka aplikasi gojek lelet luama poll padahal buat buka lainnya lancar lancar aja,makin lama makin buruk sinyal full buat buka aplikasi gojek lelet luama poll padahal buat buka lainnya lancar lancar aja,makin lama makin buruk sinyal full buat buka aplikasi gojek lelet luama poll padahal buat buka lainnya lancar lancar saja,makin lama makin buruk sinyal full buat buka aplikasi gojek lelet luama poll buat buka lainnya lancar lancar saja
BAWAH TANAH,5,mantap,2026-03-25 19:53:01,mantap,positif,mantap,mantap,mantap,mantap
Ariella syifa,2,"saya sudah punya akun trus mau masuk ke akun saya tapi tidak bisa katanya jaringan anda mati padahal jaringannya tidak mati sama sekali lancar banget malahan,ini gimana sih apknya udah tak coba² sampe beberapa kali tapi sama aja kaya gitu",2026-03-25 19:07:29,saya sudah punya akun trus mau masuk ke akun saya tapi tidak bisa katanya jaringan anda mati padahal jaringannya tidak mati sama sekali lancar banget malahanini gimana sih apknya udah tak coba sampe beberapa kali tapi sama aja kaya gitu,negatif,saya sudah punya akun trus mau masuk akun saya tapi tidak bisa katanya jaringan anda mati padahal jaringannya tidak mati sama sekali lancar banget malahan ini gimana sih apknya udah tak coba sampe beberapa kali tapi sama aja kaya gitu,saya sudah punya akun trus mau masuk akun saya tapi tidak bisa katanya jaringan anda mati padahal jaringannya tidak mati sama sekali lancar banget malahan ini gimana sih apknya udah tak coba sampe beberapa kali tapi sama aja kaya gitu,saya sudah punya akun terus mau masuk akun saya tapi tidak bisa katanya jaringan anda mati padahal jaringannya tidak mati sama sekali lancar banget malahan ini bagaimana sih apknya sudah tak coba sampai beberapa kali tapi sama saja kayak begitu,saya sudah punya akun terus mau masuk akun saya tapi tidak bisa katanya jaringan anda mati jaringannya tidak mati sama sekali lancar malahan ini bagaimana apknya sudah tak coba sampai beberapa kali tapi sama saja kayak begitu
Sri Sulastri,5,membantu sekali dlm keadaan darurat,2026-03-25 19:05:16,membantu sekali dlm keadaan darurat,positif,membantu sekali keadaan darurat,membantu sekali keadaan darurat,membantu sekali keadaan darurat,membantu sekali keadaan darurat
Ahmad Raffi,5,saya sangat senang sekali pakai aplikasi gojek ini,2026-03-25 18:29:17,saya sangat senang sekali pakai aplikasi gojek ini,positif,saya sangat senang sekali pakai aplikasi gojek ini,saya sangat senang sekali pakai aplikasi gojek ini,saya sangat senang sekali pakai aplikasi gojek ini,saya sangat senang sekali pakai aplikasi gojek ini
Muhammad Ali,5,bangus,2026-03-25 17:46:01,bangus,positif,bangus,bangus,bangus,bangus
Sintya Damaspuspita,3,"masih error,, udh 6 hari ini ngk bisa dapet Gopay Coins,, tolong diperbarui seperti semula dong🙏🙏",2026-03-25 17:45:11,masih error udh hari ini ngk bisa dapet gopay coins tolong diperbarui seperti semula dong,netral,masih error udh hari ini bisa dapet gopay coins tolong diperbarui seperti semula dong,masih error udh hari ini bisa dapet gopay coins tolong diperbarui seperti semula dong,masih error sudah hari ini bisa dapat gopay coins tolong diperbarui seperti semula dong,masih error sudah hari ini bisa dapat coins diperbarui seperti semula dong
Rizki Kuntul,1,jangan pakai gopay lagi.aplikasi paling buruk.setelah pembayaran lewat qris akun di blokir dan saldo gopay di bekukan!!!!!!!!!!,2026-03-25 17:37:50,jangan pakai gopay lagiaplikasi paling buruksetelah pembayaran lewat qris akun di blokir dan saldo gopay di bekukan,negatif,jangan pakai gopay lagi aplikasi paling buruk setelah pembayaran lewat qris akun blokir dan saldo gopay bekukan,jangan pakai gopay lagi aplikasi paling buruk setelah pembayaran lewat qris akun blokir dan saldo gopay bekukan,jangan pakai gopay lagi aplikasi paling buruk setelah pembayaran lewat qris akun blokir dan saldo gopay bekuan,jangan pakai lagi aplikasi paling buruk setelah pembayaran lewat qris akun blokir dan saldo bekuan
Susdianti,5,terimakasih bagus tepat waktu,2026-03-25 17:36:08,terimakasih bagus tepat waktu,positif,terimakasih bagus tepat waktu,terimakasih bagus tepat waktu,terimakasih bagus tepat waktu,terimakasih bagus tepat waktu
Dessy Aristiawati,3,harusnya kita pelanggan jg bisa melihat rating kita sendiri,2026-03-25 17:29:12,harusnya kita pelanggan jg bisa melihat rating kita sendiri,netral,harusnya kita pelanggan bisa melihat rating kita sendiri,harusnya kita pelanggan bisa melihat rating kita sendiri,harusnya kita pelanggan bisa melihat ranting kita sendiri,harusnya kita pelanggan bisa melihat ranting kita sendiri
Febi Sriyanti,1,driver car wilayah Jatibarang suka cancel orderan katanya titik penjemputan jauh.tidak memuaskan,2026-03-25 17:13:33,driver car wilayah jatibarang suka cancel orderan katanya titik penjemputan jauhtidak memuaskan,negatif,driver car wilayah jatibarang suka cancel orderan katanya titik penjemputan jauh tidak memuaskan,driver car wilayah jatibarang suka cancel orderan katanya titik penjemputan jauh tidak memuaskan,driver car wilayah jatibarang suka cancel orderan katanya titik penjemputan jauh tidak memuaskan,driver car wilayah jatibarang suka cancel orderan katanya titik penjemputan jauh tidak memuaskan
Mau Lana,1,saya sangat kecewa hampir 2 jam tidak dapet driver dan tidak bisa di batalin,2026-03-25 17:00:35,saya sangat kecewa hampir jam tidak dapet driver dan tidak bisa di batalin,negatif,saya sangat kecewa hampir jam tidak dapet driver dan tidak bisa batalin,saya sangat kecewa hampir jam tidak dapet driver dan tidak bisa batalin,saya sangat kecewa hampir jam tidak dapat driver dan tidak bisa batalion,saya sangat kecewa hampir jam tidak dapat driver dan tidak bisa batalion
Chandra Kharisma,5,sangat nyaman..,2026-03-25 16:58:21,sangat nyaman,positif,sangat nyaman,sangat nyaman,sangat nyaman,sangat nyaman
Rusman Rimolla Rahman,2,"mohon maaf , tidak sesuai dengan titik tujuan.bisa bisa kita sebagai costumer berdebat dengan driver",2026-03-25 16:58:05,mohon maaf tidak sesuai dengan titik tujuanbisa bisa kita sebagai costumer berdebat dengan driver,negatif,mohon maaf tidak sesuai dengan titik tujuan bisa bisa kita sebagai costumer berdebat dengan driver,mohon maaf tidak sesuai dengan titik tujuan bisa bisa kita sebagai costumer berdebat dengan driver,mohon maaf tidak sesuai dengan titik tujuan bisa bisa kita sebagai costumer berdebat dengan driver,mohon tidak sesuai dengan titik tujuan bisa bisa kita sebagai costumer berdebat dengan driver
Suryono Luhur Pribadi,5,"cepat, tepat dan aman",2026-03-25 16:53:59,cepat tepat dan aman,positif,cepat tepat dan aman,cepat tepat dan aman,cepat tepat dan aman,cepat tepat dan aman
Okik Andiyas,1,selalu di batalin padahal pake prioritas,2026-03-25 16:53:01,selalu di batalin padahal pake prioritas,negatif,selalu batalin padahal pake prioritas,selalu batalin padahal pake prioritas,selalu batalion padahal pakai prioritas,selalu batalion pakai prioritas
Raisya Ica,5,mudah,2026-03-25 16:49:04,mudah,positif,mudah,mudah,mudah,mudah
Silvia Wrdni04,1,"lama mencari driver untuk mengantar pesanan, sangat buruk",2026-03-25 16:43:52,lama mencari driver untuk mengantar pesanan sangat buruk,negatif,lama mencari driver untuk mengantar pesanan sangat buruk,lama mencari driver untuk mengantar pesanan sangat buruk,lama mencari driver untuk mengantar pesanan sangat buruk,lama mencari driver untuk mengantar pesanan sangat buruk
Agung “Quartavio” Priyo Nugroho,1,"hapus aja fitur Flash di GoFood. Gak mutu. Katanya waktu antarnya 15-20 menit, tapi dari jarak pesan sampai batas akhir pengantaran selisihnya bisa sampe 40 menit... Jadi percuma bayar lebih",2026-03-25 16:38:27,hapus aja fitur flash di gofood gak mutu katanya waktu antarnya menit tapi dari jarak pesan sampai batas akhir pengantaran selisihnya bisa sampe menit jadi percuma bayar lebih,negatif,hapus aja fitur gofood gak mutu katanya waktu antarnya menit tapi dari jarak pesan sampai batas akhir pengantaran selisihnya bisa sampe menit jadi percuma bayar lebih,hapus aja fitur gofood gak mutu katanya waktu antarnya menit tapi dari jarak pesan sampai batas akhir pengantaran selisihnya bisa sampe menit jadi percuma bayar lebih,hapus saja fitur gofood enggak mutu katanya waktu hantarnya menit tapi dari jarak pesan sampai batas akhir pengantaran selisihnya bisa sampai menit jadi percuma bayar lebih,hapus saja fitur gofood enggak mutu katanya waktu hantarnya menit tapi jarak pesan sampai batas akhir pengantaran selisihnya bisa sampai menit jadi percuma bayar lebih
